Area,City,Size (sq ft),Price ($)
Suburb,CityD,3447,415792
Suburb,CityC,847,645422
Uptown,CityA,665,870545
Downtown,CityA,4943,942575
Countryside,CityB,3396,169123
Suburb,CityE,4993,588775
Seaside,CityE,1082,276225
Suburb,CityE,4006,757773
Seaside,CityB,4903,321646
Uptown,CityE,3538,253627
Seaside,CityC,3345,504168
Countryside,CityB,3266,824353
Downtown,CityC,4694,567216
Seaside,CityB,1765,166686
Seaside,CityE,4753,999273
Downtown,CityC,3467,656552
Countryside,CityC,2774,336830
Suburb,CityC,2970,540769
Seaside,CityB,2790,285431
Downtown,CityD,3077,996317
Uptown,CityE,4160,853682
Downtown,CityC,1568,240880
Uptown,CityD,3236,152330
Countryside,CityE,2450,738960
Suburb,CityE,591,400489
Downtown,CityC,3593,562833
Seaside,CityC,2719,663510
Countryside,CityB,1887,157755
Downtown,CityD,4774,895365
Seaside,CityD,2785,954639
Downtown,CityC,3706,274811
Uptown,CityE,3424,278810
Downtown,CityC,779,991123
Downtown,CityE,2118,729425
Downtown,CityE,3287,315616
Countryside,CityC,870,985250
Downtown,CityA,3683,460654
Seaside,CityD,4334,723539
Uptown,CityE,2203,770740
Uptown,CityE,2768,380356
Downtown,CityA,803,390318
Countryside,CityB,4274,500077
Countryside,CityA,1848,761454
Seaside,CityA,2922,728937
Downtown,CityE,4128,675607
Uptown,CityD,2928,802088
Countryside,CityA,3533,517579
Downtown,CityB,1168,187846
Countryside,CityC,999,270372
Countryside,CityA,1914,154808
Uptown,CityA,1029,311177
Suburb,CityB,4121,666904
Seaside,CityD,3956,960761
Seaside,CityA,1254,859103
Uptown,CityA,2847,256359
Countryside,CityD,1226,789331
Downtown,CityB,3149,156152
Countryside,CityA,2546,142351
Uptown,CityD,3315,605931
Seaside,CityA,1374,815400
Countryside,CityC,3779,327977
Seaside,CityE,3484,843919
Downtown,CityC,2678,484521
Seaside,CityA,4307,160616
Seaside,CityB,1107,866781
Suburb,CityE,1134,254969
Suburb,CityC,3227,385154
Suburb,CityD,1574,594651
Seaside,CityB,2414,746110
Uptown,CityC,1088,251186
Seaside,CityD,3731,905482
Uptown,CityA,2804,346309
Uptown,CityD,4338,383269
Suburb,CityC,2473,587310
Countryside,CityC,2555,543612
Downtown,CityA,3980,275918
Suburb,CityD,2579,513612
Suburb,CityD,3552,454805
Countryside,CityA,4982,881444
Downtown,CityD,1751,616941
Seaside,CityA,4295,712404
Seaside,CityB,4322,219233
Suburb,CityC,4802,516790
Downtown,CityB,3889,976587
Suburb,CityE,2280,113869
Uptown,CityE,3104,559410
Suburb,CityE,4188,686455
Suburb,CityA,2224,811507
Seaside,CityD,3284,343758
Seaside,CityB,4219,767482
Seaside,CityB,2177,274899
Uptown,CityB,948,768695
Seaside,CityB,581,351536
Downtown,CityE,1906,950008
Countryside,CityB,1980,645965
Downtown,CityD,1579,521439
Downtown,CityE,4098,523030
Seaside,CityB,4683,225662
Countryside,CityA,4180,576827
Countryside,CityC,3203,536401
Countryside,CityC,4810,701082
Uptown,CityC,4256,175675
Seaside,CityE,2258,928757
Countryside,CityB,3099,140503
Uptown,CityE,3050,905946
Suburb,CityD,4353,680484
Suburb,CityA,3246,981065
Uptown,CityA,2792,805479
Uptown,CityC,2001,707612
Seaside,CityC,4904,518277
Seaside,CityC,730,765307
Suburb,CityB,4750,574296
Countryside,CityD,1698,447694
Suburb,CityD,614,966763
Countryside,CityD,1913,263704
Countryside,CityD,4906,250424
Seaside,CityC,1492,385797
Downtown,CityA,2847,298187
Downtown,CityC,1541,983726
Uptown,CityD,511,668043
Seaside,CityC,4176,990728
Countryside,CityD,3565,722642
Downtown,CityE,2536,434132
Countryside,CityA,3546,924353
Downtown,CityE,2850,552219
Downtown,CityB,1040,574092
Downtown,CityC,3360,933100
Seaside,CityB,576,417319
Suburb,CityC,3567,803098
Countryside,CityE,523,415596
Seaside,CityD,1175,299395
Seaside,CityD,2894,408293
Seaside,CityC,4767,344965
Seaside,CityD,3898,902271
Seaside,CityE,3259,620724
Uptown,CityD,988,626443
Countryside,CityE,1985,500235
Seaside,CityB,4159,678800
Countryside,CityE,3735,554906
Uptown,CityA,2919,972582
Uptown,CityA,3995,750329
Countryside,CityA,1256,388334
Downtown,CityC,3024,599127
Suburb,CityC,4750,373072
Downtown,CityC,756,410569
Downtown,CityE,2279,698422
Downtown,CityC,2615,734163
Seaside,CityB,3848,317189
Uptown,CityA,1972,748552
Downtown,CityE,758,280046
Uptown,CityA,4575,472335
Countryside,CityC,806,279815
Suburb,CityE,1618,572671
Countryside,CityD,3517,990148
Countryside,CityB,4841,301107
Seaside,CityC,3280,680609
Suburb,CityC,2158,475926
Countryside,CityB,686,209398
Countryside,CityB,2297,421117
Suburb,CityD,1424,676702
Suburb,CityC,1284,518818
Countryside,CityC,3944,348749
Suburb,CityA,3696,391836
Countryside,CityE,1860,468102
Countryside,CityE,840,410894
Seaside,CityA,1062,514976
Downtown,CityE,3499,430600
Countryside,CityB,1693,910517
Uptown,CityE,3610,385069
Downtown,CityE,568,892047
Downtown,CityA,2928,923515
Downtown,CityD,4098,614004
Seaside,CityE,2872,472908
Countryside,CityE,1343,561535
Seaside,CityD,1073,633893
Countryside,CityA,4714,997525
Seaside,CityD,3096,931040
Seaside,CityA,1978,490932
Uptown,CityB,2573,119192
Seaside,CityA,2013,937762
Suburb,CityB,1468,328464
Uptown,CityB,2696,412093
Seaside,CityA,2011,168382
Downtown,CityC,1154,723521
Suburb,CityA,3492,530802
Suburb,CityE,792,152243
Suburb,CityE,3101,462710
Uptown,CityC,4912,420762
Seaside,CityB,4993,238621
Seaside,CityC,2088,152494
Downtown,CityE,1095,843333
Downtown,CityC,3093,386102
Suburb,CityA,2623,320851
Downtown,CityC,2443,600929
Uptown,CityB,1415,207960
Seaside,CityA,4369,202478
Suburb,CityD,3294,622419
Downtown,CityE,3578,530754
Uptown,CityE,1475,105833
Uptown,CityC,1575,516602
Downtown,CityA,3489,348053
Seaside,CityD,3967,199341
Downtown,CityA,1951,827138
Suburb,CityE,4323,718528
Downtown,CityA,4432,994387
Uptown,CityD,2528,518048
Downtown,CityC,862,308929
Seaside,CityB,2929,270002
Countryside,CityA,4132,263479
Downtown,CityB,2818,890505
Seaside,CityE,3585,904099
Seaside,CityC,2845,509251
Uptown,CityC,4098,106732
Seaside,CityA,4829,417241
Seaside,CityC,2231,103487
Seaside,CityA,526,331560
Seaside,CityA,592,944134
Suburb,CityB,3164,882031
Suburb,CityC,808,457105
Uptown,CityA,551,605410
Downtown,CityB,818,709395
Seaside,CityD,2492,207721
Downtown,CityB,4776,433175
Downtown,CityB,4391,446361
Uptown,CityA,4456,376925
Seaside,CityE,3192,926297
Seaside,CityE,3518,632757
Countryside,CityE,2524,407311
Downtown,CityB,4931,880226
Downtown,CityA,2025,312810
Suburb,CityC,1778,906360
Countryside,CityB,1013,307593
Suburb,CityB,4837,401743
Suburb,CityA,2233,509991
Suburb,CityD,3870,428648
Uptown,CityB,4421,569134
Uptown,CityD,3000,170687
Suburb,CityD,3964,520020
Countryside,CityE,2759,995554
Downtown,CityA,3159,787619
Countryside,CityD,755,881085
Seaside,CityA,2002,710572
Uptown,CityE,2610,185227
Downtown,CityA,906,197556
Downtown,CityB,3349,667848
Seaside,CityD,3676,389400
Seaside,CityA,2360,630413
Suburb,CityC,4854,628658
Uptown,CityA,1222,104838
Uptown,CityD,1782,214479
Countryside,CityE,1113,157429
Suburb,CityE,3831,866355
Suburb,CityD,3616,667487
Suburb,CityB,2478,701380
Suburb,CityB,1312,487069
Uptown,CityE,2286,789182
Uptown,CityE,830,848873
Suburb,CityD,2712,906545
Countryside,CityB,1716,818954
Downtown,CityE,4982,720390
Downtown,CityB,3837,364813
Countryside,CityE,2875,280499
Suburb,CityA,1740,574833
Uptown,CityC,819,768298
Downtown,CityA,4994,498933
Seaside,CityE,2414,964250
Seaside,CityC,4700,819935
Countryside,CityC,829,704025
Suburb,CityE,1159,124406
Downtown,CityE,4188,615904
Suburb,CityB,3618,327894
Downtown,CityE,2472,112873
Countryside,CityD,2293,225812
Countryside,CityE,3718,968480
Seaside,CityD,3033,647749
Suburb,CityE,2957,513926
Seaside,CityB,3600,113448
Suburb,CityD,4866,639486
Seaside,CityA,3233,697446
Uptown,CityD,4980,599600
Uptown,CityB,4655,561154
Uptown,CityD,719,325075
Uptown,CityE,3318,266033
Downtown,CityE,2406,798367
Uptown,CityB,3111,165470
Countryside,CityC,3093,283328
Countryside,CityE,595,645027
Downtown,CityA,1488,970486
Uptown,CityB,1612,420330
Uptown,CityD,2778,126547
Uptown,CityD,745,194472
Seaside,CityA,2658,972255
Suburb,CityE,4829,611517
Seaside,CityB,3849,206887
Suburb,CityA,3225,806791
Uptown,CityE,4577,833771
Uptown,CityB,3166,897118
Seaside,CityD,3699,248608
Seaside,CityB,3254,396206
Suburb,CityC,1917,934648
Countryside,CityB,1154,393797
Suburb,CityC,2942,645961
Seaside,CityB,610,241439
Seaside,CityC,589,119629
Downtown,CityD,1262,745044
Seaside,CityE,3672,735929
Downtown,CityC,2679,565406
Countryside,CityC,3004,387207
Suburb,CityD,1964,381466
Suburb,CityC,597,839906
Downtown,CityA,792,608853
Suburb,CityD,2339,899125
Seaside,CityA,2234,240313
Uptown,CityD,3119,522994
Downtown,CityC,2696,464523
Suburb,CityA,3966,899083
Downtown,CityC,2406,781326
Downtown,CityD,2221,895707
Uptown,CityC,4191,145606
Seaside,CityA,2316,101658
Downtown,CityA,752,325571
Suburb,CityC,4727,172468
Countryside,CityB,4019,507464
Downtown,CityD,2407,517653
Downtown,CityD,2410,795087
Uptown,CityC,3021,249273
Seaside,CityB,4349,665438
Countryside,CityA,1558,870508
Suburb,CityE,4038,901431
Countryside,CityE,2822,351775
Suburb,CityC,686,368520
Seaside,CityB,1448,413817
Suburb,CityB,2790,889908
Uptown,CityD,4859,348465
Uptown,CityA,709,956334
Uptown,CityB,2593,607726
Uptown,CityE,4038,977701
Countryside,CityA,2063,833354
Seaside,CityA,525,722619
Suburb,CityC,674,513831
Suburb,CityB,1834,635452
Uptown,CityC,821,925748
Uptown,CityB,4650,823920
Downtown,CityD,4547,260631
Seaside,CityC,3727,425112
Countryside,CityC,2372,297872
Suburb,CityE,2567,764407
Downtown,CityC,832,538201
Downtown,CityB,3491,303195
Suburb,CityE,1410,576387
Countryside,CityC,4996,604316
Downtown,CityC,1449,759230
Downtown,CityD,2575,658382
Seaside,CityC,3014,417473
Countryside,CityA,3831,764577
Downtown,CityE,3529,445282
Countryside,CityA,600,166141
Suburb,CityE,2900,253415
Uptown,CityD,3871,752595
Downtown,CityC,2843,806182
Seaside,CityC,852,602009
Suburb,CityC,3455,525305
Countryside,CityE,1518,546811
Suburb,CityC,1679,445341
Downtown,CityA,4036,968750
Countryside,CityC,4150,261101
Uptown,CityD,3002,703311
Suburb,CityA,4319,544540
Downtown,CityC,1479,938394
Seaside,CityC,1476,475181
Countryside,CityB,1871,794402
Suburb,CityE,2780,711889
Suburb,CityA,607,569596
Uptown,CityB,1472,184859
Uptown,CityD,2126,715221
Seaside,CityE,1203,145957
Seaside,CityA,1374,969296
Downtown,CityC,4309,930171
Downtown,CityA,2911,400877
Seaside,CityC,2607,669677
Seaside,CityE,4053,260787
Countryside,CityC,1773,794476
Uptown,CityD,1059,943354
Downtown,CityC,616,549467
Uptown,CityD,3546,117580
Uptown,CityE,543,478044
Seaside,CityE,1008,494039
Countryside,CityA,3939,359073
Suburb,CityD,4428,323080
Countryside,CityD,1416,893516
Countryside,CityB,3445,440135
Uptown,CityB,1298,503823
Countryside,CityB,2260,706743
Downtown,CityC,2833,474684
Uptown,CityB,3775,476684
Downtown,CityD,1318,877585
Suburb,CityC,2668,767329
Uptown,CityE,4235,903765
Suburb,CityA,3565,570452
Uptown,CityB,3759,489326
Seaside,CityE,1406,854207
Countryside,CityD,4608,660956
Seaside,CityA,1102,898377
Suburb,CityE,4795,726816
Countryside,CityA,3133,146526
Uptown,CityB,2291,672005
Countryside,CityD,4027,552642
Downtown,CityA,2311,856530
Countryside,CityE,4411,315238
Downtown,CityB,1340,609740
Countryside,CityB,3642,337644
Downtown,CityE,2590,452624
Suburb,CityE,1536,582112
Seaside,CityA,1224,833709
Uptown,CityC,1487,235673
Countryside,CityB,1302,899362
Seaside,CityA,3082,628621
Uptown,CityE,4337,826295
Uptown,CityA,1026,220384
Downtown,CityE,2165,117839
Suburb,CityD,1638,937769
Suburb,CityE,959,533420
Seaside,CityE,3052,120195
Suburb,CityE,4920,521064
Countryside,CityC,3308,713517
Suburb,CityE,3398,999683
Seaside,CityB,3743,212265
Suburb,CityB,4568,360775
Countryside,CityA,2831,271926
Downtown,CityC,4185,988418
Seaside,CityA,1131,413142
Downtown,CityB,2956,298462
Downtown,CityB,1481,393702
Downtown,CityD,4817,889417
Uptown,CityE,2056,948226
Uptown,CityB,2705,143585
Downtown,CityA,4943,315886
Seaside,CityA,4455,402408
Countryside,CityE,1421,526542
Countryside,CityE,904,971248
Suburb,CityD,2120,658310
Seaside,CityC,3452,508883
Uptown,CityA,3618,642353
Downtown,CityE,2094,476526
Suburb,CityA,1065,752433
Countryside,CityE,3368,973623
Uptown,CityB,1357,433963
Uptown,CityA,1784,469302
Downtown,CityB,1084,538292
Countryside,CityA,4827,299933
Seaside,CityC,1745,851679
Uptown,CityD,551,543609
Downtown,CityB,2663,889575
Seaside,CityE,1037,856701
Countryside,CityC,1040,419649
Uptown,CityA,1314,505633
Seaside,CityB,1915,262372
Seaside,CityA,3338,391040
Seaside,CityA,2152,871829
Uptown,CityA,3165,858339
Uptown,CityD,4562,412773
Suburb,CityD,2856,520822
Countryside,CityE,4310,664204
Downtown,CityB,1363,161330
Seaside,CityC,685,893983
Suburb,CityC,4856,463116
Downtown,CityC,2051,481767
Suburb,CityA,2707,811782
Uptown,CityD,1261,609068
Seaside,CityB,4819,475360
Downtown,CityA,1779,954214
Downtown,CityD,4775,427535
Downtown,CityD,4194,467101
Downtown,CityB,3781,747834
Downtown,CityB,2036,687699
Suburb,CityB,3664,864797
Seaside,CityA,3270,173185
Uptown,CityE,2463,599961
Uptown,CityB,4345,756248
Uptown,CityE,3935,600735
Uptown,CityA,1061,227574
Suburb,CityE,2921,812495
Countryside,CityC,2635,129424
Seaside,CityE,2561,141559
Downtown,CityB,2680,610926
Countryside,CityA,2460,348290
Uptown,CityB,4379,373219
Countryside,CityC,3779,515915
Seaside,CityB,4384,803332
Downtown,CityB,3770,609968
Downtown,CityB,1082,372094
Seaside,CityD,2113,760773
Seaside,CityC,1601,139305
Uptown,CityB,788,622037
Downtown,CityB,4359,365713
Countryside,CityB,3560,166778
Suburb,CityA,3426,464777
Suburb,CityD,4602,916517
Seaside,CityA,1683,577061
Uptown,CityD,4835,458451
Suburb,CityB,1946,978606
Downtown,CityC,2249,660451
Seaside,CityE,2403,149592
Countryside,CityE,3675,318223
Seaside,CityB,1577,288405
Countryside,CityA,2877,479575
Seaside,CityC,1347,632327
Seaside,CityD,3376,239270
Seaside,CityB,1739,265426
Countryside,CityC,1832,870873
Countryside,CityC,4006,365968
Seaside,CityD,2879,936852
Suburb,CityC,4622,451679
Uptown,CityA,3737,103436
Uptown,CityA,2865,717838
Uptown,CityA,2912,796217
Countryside,CityC,3674,116057
Countryside,CityA,872,625598
Suburb,CityD,2449,751201
Uptown,CityC,744,568571
Uptown,CityE,2340,869129
Seaside,CityC,3927,879276
Countryside,CityD,624,690301
Uptown,CityE,3253,946454
Suburb,CityC,2419,764266
Suburb,CityA,2135,765228
Uptown,CityB,1925,642834
Countryside,CityB,2040,198812
Suburb,CityA,1030,697143
Seaside,CityB,4849,657437
Suburb,CityB,3603,475735
Downtown,CityA,2301,298453
Downtown,CityA,1536,779044
Countryside,CityC,4228,392002
Uptown,CityC,4511,145330
Countryside,CityA,3963,879340
Countryside,CityD,1642,814564
Countryside,CityB,2255,454347
Countryside,CityC,2129,387437
Seaside,CityB,1262,943301
Seaside,CityE,4457,976861
Suburb,CityA,1057,235701
Downtown,CityD,1339,105704
Countryside,CityE,502,232848
Suburb,CityE,1551,288327
Downtown,CityE,1904,672569
Uptown,CityA,656,741260
Seaside,CityC,2437,213532
Downtown,CityA,1010,524452
Uptown,CityC,3904,166780
Downtown,CityE,1637,300277
Seaside,CityE,4414,544162
Seaside,CityD,3821,344955
Suburb,CityC,1214,417477
Countryside,CityE,2786,782637
Downtown,CityB,3154,805966
Downtown,CityD,1490,757293
Uptown,CityA,4929,788874
Seaside,CityD,2660,353130
Downtown,CityB,4957,338408
Seaside,CityC,2644,714181
Downtown,CityA,2563,847967
Suburb,CityA,3103,949390
Countryside,CityC,2477,130844
Downtown,CityD,875,476645
Seaside,CityE,1241,977632
Suburb,CityD,4985,625080
Downtown,CityB,3167,532911
Uptown,CityE,1740,707475
Countryside,CityD,3970,142510
Downtown,CityC,2867,532353
Suburb,CityB,2743,213104
Uptown,CityB,4049,828770
Suburb,CityB,917,575428
Suburb,CityE,1106,926064
Uptown,CityA,1067,792150
Suburb,CityE,1043,445712
Uptown,CityD,1383,885139
Downtown,CityA,1723,524101
Uptown,CityD,3393,165214
Uptown,CityA,2568,669158
Countryside,CityE,4209,883577
Uptown,CityB,2286,148110
Uptown,CityC,1957,995846
Downtown,CityB,2414,623538
Countryside,CityE,577,760531
Seaside,CityA,4113,240661
Downtown,CityB,1808,118077
Downtown,CityE,1147,951306
Seaside,CityD,2687,565462
Uptown,CityC,1052,346797
Suburb,CityB,781,578988
Countryside,CityA,1781,269299
Suburb,CityD,2346,508153
Seaside,CityE,2987,371898
Downtown,CityC,3293,387832
Downtown,CityA,4211,893480
Countryside,CityE,4699,384712
Downtown,CityE,3276,984015
Downtown,CityB,2096,510761
Countryside,CityB,979,194449
Countryside,CityA,3812,669505
Seaside,CityE,3718,279194
Downtown,CityB,2463,623048
Downtown,CityC,2642,264818
Seaside,CityC,4398,227873
Uptown,CityE,2572,387502
Uptown,CityB,1795,214064
Uptown,CityA,1438,897455
Seaside,CityA,1261,719675
Downtown,CityA,2169,784116
Seaside,CityC,4362,809641
Seaside,CityB,3185,186728
Uptown,CityB,4399,278331
Suburb,CityC,2431,774199
Downtown,CityA,4439,913842
Uptown,CityA,1626,205696
Suburb,CityE,3797,373591
Suburb,CityD,1703,217954
Countryside,CityB,4635,186569
Downtown,CityB,4272,337963
Suburb,CityB,1019,831025
Uptown,CityD,2783,982326
Countryside,CityE,982,900339
Downtown,CityD,2977,121637
Seaside,CityA,3593,793556
Uptown,CityA,842,850377
Suburb,CityB,1962,328289
Suburb,CityC,1702,757949
Uptown,CityB,2121,123560
Suburb,CityC,2898,889466
Countryside,CityD,4096,231241
Downtown,CityA,4035,716737
Countryside,CityC,3377,627527
Suburb,CityD,2890,627703
Seaside,CityA,3851,578704
Downtown,CityC,3413,963376
Downtown,CityB,1689,234556
Uptown,CityB,2840,416131
Uptown,CityB,4080,118225
Seaside,CityD,2103,180459
Downtown,CityB,3797,614782
Seaside,CityE,1097,816464
Uptown,CityA,1144,383080
Uptown,CityD,3402,926044
Downtown,CityB,1263,981965
Countryside,CityA,2142,483021
Suburb,CityC,2797,464413
Uptown,CityB,2672,664240
Uptown,CityA,2660,945377
Countryside,CityE,4249,842759
Countryside,CityC,3422,367524
Seaside,CityE,1079,805658
Seaside,CityA,4304,705109
Suburb,CityE,2868,520476
Suburb,CityA,4432,526095
Downtown,CityA,3860,247215
Seaside,CityE,1600,936176
Uptown,CityA,2170,828309
Seaside,CityB,2720,262650
Uptown,CityA,716,442406
Countryside,CityD,875,419475
Seaside,CityA,2109,716839
Countryside,CityD,4606,950247
Suburb,CityA,4339,609142
Suburb,CityA,3439,171519
Downtown,CityE,4562,250250
Seaside,CityB,2113,192526
Countryside,CityB,4179,831217
Uptown,CityC,1796,291269
Suburb,CityE,4496,209365
Suburb,CityE,1655,621291
